Date,Lat,Lng
2021-01-01,50.85960,4.27701
2021-01-01,50.82444,4.27249
2021-01-01,50.79814,4.30632
2021-01-01,50.83097,4.27483
2021-01-01,50.84036,4.33475
2021-01-01,50.81605,4.34438
2021-01-01,50.84876,4.28028
2021-01-01,50.86505,4.37790
2021-01-01,50.84563,4.47079
2021-01-01,50.85985,4.43872
2021-01-01,50.89915,4.28751
2021-01-01,50.86106,4.37567
2021-01-01,50.86499,4.38836
2021-01-01,50.83107,4.37901
2021-01-01,50.81396,4.42327
2021-01-01,50.85145,4.41338
2021-01-01,50.87697,4.34858
2021-01-01,50.85417,4.45741
2021-01-01,50.80287,4.35938
2021-01-01,50.81438,4.30430
2021-01-01,50.82024,4.34231
2021-01-01,50.80526,4.30240
2021-01-01,50.80444,4.34092
2021-01-01,50.87487,4.29185
2021-01-01,50.88339,4.32342
2021-01-01,50.86776,4.30614
2021-01-01,50.81408,4.37436
2021-01-01,50.79904,4.36586
2021-01-01,50.81514,4.38833
2021-01-01,50.86297,4.32418
2021-01-01,50.86249,4.32325
2021-01-01,50.87162,4.32760
2021-01-01,50.82798,4.31512
2021-01-01,50.87420,4.28596
2021-01-01,50.85868,4.28978
2021-01-01,50.82610,4.32766
2021-01-01,50.81948,4.36103
2021-01-01,50.82303,4.34154
2021-01-01,50.84343,4.37598
2021-01-01,50.85890,4.38901
2021-01-01,50.85126,4.37404
2021-01-01,50.86030,4.35756
2021-01-01,50.87455,4.36397
2021-01-01,50.84608,4.38575
2021-01-01,50.86146,4.36880
2021-01-01,50.85898,4.37584
2021-01-01,50.86558,4.39086
2021-01-01,50.87016,4.36692
2021-01-01,50.85671,4.40241
2021-01-01,50.86549,4.35718
2021-01-01,50.86229,4.39575
2021-01-01,50.87109,4.39576
2021-01-01,50.87754,4.38585
2021-01-01,50.87830,4.39334
2021-01-01,50.83760,4.33555
2021-01-01,50.78425,4.27946
2021-01-01,50.80337,4.34901
2021-01-01,50.82415,4.45715
2021-01-01,50.86778,4.44606
2021-01-01,50.85748,4.42137
2021-01-01,50.84364,4.41273
2021-01-01,50.81326,4.40944
2021-01-01,50.84090,4.43878
2021-01-02,50.80718,4.26942
2021-01-02,50.81628,4.27078
2021-01-02,50.84442,4.25976
2021-01-02,50.83724,4.28133
2021-01-02,50.85169,4.31240
2021-01-02,50.83613,4.27572
2021-01-02,50.81446,4.44461
2021-01-02,50.83979,4.43564
2021-01-02,50.81621,4.44332
2021-01-02,50.79111,4.42243
2021-01-02,50.81147,4.44786
2021-01-02,50.81173,4.43329
2021-01-02,50.83309,4.42880
2021-01-02,50.82171,4.45550
2021-01-02,50.87228,4.29876
2021-01-02,50.86811,4.29552
2021-01-02,50.87195,4.27586
2021-01-02,50.86020,4.34118
2021-01-02,50.84486,4.31816
2021-01-02,50.86759,4.37743
2021-01-02,50.80618,4.38488
2021-01-02,50.86438,4.30968
2021-01-02,50.89979,4.45432
2021-01-02,50.86817,4.33694
2021-01-02,50.87238,4.38216
2021-01-02,50.86155,4.36934
2021-01-02,50.85538,4.31020
2021-01-02,50.83181,4.41472
2021-01-02,50.85118,4.43206
2021-01-02,50.83108,4.40097
2021-01-02,50.83282,4.39211
2021-01-02,50.84069,4.39661
2021-01-02,50.82571,4.40261
